,type,in_size,out_size,ops,params
image_encoder.transformer.resblocks.7.mlp.c_fc,Linear,"(129, 1, 768)","(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072)",608698368,2362368
image_encoder.transformer.resblocks.7.mlp.gelu,QuickGELU,,,,
image_encoder.transformer.resblocks.7.mlp.c_proj,Linear,"(129, 1, 3072)","(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768)",608698368,2360064
image_encoder.transformer.resblocks.7.ln_2,LayerNorm,,,,
image_encoder.transformer.resblocks.8.attn.out_proj,NonDynamicallyQuantizableLinear,,,,
image_encoder.transformer.resblocks.8.ln_1,LayerNorm,,,,
image_encoder.transformer.resblocks.8.mlp.c_fc,Linear,"(129, 1, 768)","(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072)",608698368,2362368
image_encoder.transformer.resblocks.8.mlp.gelu,QuickGELU,,,,
image_encoder.transformer.resblocks.8.mlp.c_proj,Linear,"(129, 1, 3072)","(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768)",608698368,2360064
image_encoder.transformer.resblocks.8.ln_2,LayerNorm,,,,
image_encoder.transformer.resblocks.9.attn.out_proj,NonDynamicallyQuantizableLinear,,,,
image_encoder.transformer.resblocks.9.ln_1,LayerNorm,,,,
image_encoder.transformer.resblocks.9.mlp.c_fc,Linear,"(129, 1, 768)","(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072)",608698368,2362368
image_encoder.transformer.resblocks.9.mlp.gelu,QuickGELU,,,,
image_encoder.transformer.resblocks.9.mlp.c_proj,Linear,"(129, 1, 3072)","(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768)",608698368,2360064
image_encoder.transformer.resblocks.9.ln_2,LayerNorm,,,,
image_encoder.transformer.resblocks.10.attn.out_proj,NonDynamicallyQuantizableLinear,,,,
image_encoder.transformer.resblocks.10.ln_1,LayerNorm,,,,
image_encoder.transformer.resblocks.10.mlp.c_fc,Linear,"(129, 1, 768)","(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072)",608698368,2362368
image_encoder.transformer.resblocks.10.mlp.gelu,QuickGELU,,,,
image_encoder.transformer.resblocks.10.mlp.c_proj,Linear,"(129, 1, 3072)","(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768)",608698368,2360064
image_encoder.transformer.resblocks.10.ln_2,LayerNorm,,,,
image_encoder.transformer.resblocks.11.attn.out_proj,NonDynamicallyQuantizableLinear,,,,
image_encoder.transformer.resblocks.11.ln_1,LayerNorm,,,,
image_encoder.transformer.resblocks.11.mlp.c_fc,Linear,"(129, 1, 768)","(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072)",608698368,2362368
image_encoder.transformer.resblocks.11.mlp.gelu,QuickGELU,,,,
image_encoder.transformer.resblocks.11.mlp.c_proj,Linear,"(129, 1, 3072)","(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768)",608698368,2360064
image_encoder.transformer.resblocks.11.ln_2,LayerNorm,,,,
image_encoder.ln_post,LayerNorm,,,,
prompt_learner,PromptLearner,,,,
text_encoder.transformer.resblocks.0.attn.out_proj,NonDynamicallyQuantizableLinear,,,,
text_encoder.transformer.resblocks.0.ln_1,LayerNorm,,,,
text_encoder.transformer.resblocks.0.mlp.c_fc,Linear,,,,
text_encoder.transformer.resblocks.0.mlp.gelu,QuickGELU,,,,
text_encoder.transformer.resblocks.0.mlp.c_proj,Linear,,,,
text_encoder.transformer.resblocks.0.ln_2,LayerNorm,,,,
text_encoder.transformer.resblocks.1.attn.out_proj,NonDynamicallyQuantizableLinear,,,,
text_encoder.transformer.resblocks.1.ln_1,LayerNorm,,,,
text_encoder.transformer.resblocks.1.mlp.c_fc,Linear,,,,
text_encoder.transformer.resblocks.1.mlp.gelu,QuickGELU,,,,
text_encoder.transformer.resblocks.1.mlp.c_proj,Linear,,,,
text_encoder.transformer.resblocks.1.ln_2,LayerNorm,,,,
text_encoder.transformer.resblocks.2.attn.out_proj,NonDynamicallyQuantizableLinear,,,,
text_encoder.transformer.resblocks.2.ln_1,LayerNorm,,,,
text_encoder.transformer.resblocks.2.mlp.c_fc,Linear,,,,
text_encoder.transformer.resblocks.2.mlp.gelu,QuickGELU,,,,
text_encoder.transformer.resblocks.2.mlp.c_proj,Linear,,,,
text_encoder.transformer.resblocks.2.ln_2,LayerNorm,,,,
text_encoder.transformer.resblocks.3.attn.out_proj,NonDynamicallyQuantizableLinear,,,,
text_encoder.transformer.resblocks.3.ln_1,LayerNorm,,,,
text_encoder.transformer.resblocks.3.mlp.c_fc,Linear,,,,
text_encoder.transformer.resblocks.3.mlp.gelu,QuickGELU,,,,
text_encoder.transformer.resblocks.3.mlp.c_proj,Linear,,,,
text_encoder.transformer.resblocks.3.ln_2,LayerNorm,,,,
text_encoder.transformer.resblocks.4.attn.out_proj,NonDynamicallyQuantizableLinear,,,,
text_encoder.transformer.resblocks.4.ln_1,LayerNorm,,,,
text_encoder.transformer.resblocks.4.mlp.c_fc,Linear,,,,
text_encoder.transformer.resblocks.4.mlp.gelu,QuickGELU,,,,
text_encoder.transformer.resblocks.4.mlp.c_proj,Linear,,,,
text_encoder.transformer.resblocks.4.ln_2,LayerNorm,,,,
text_encoder.transformer.resblocks.5.attn.out_proj,NonDynamicallyQuantizableLinear,,,,
text_encoder.transformer.resblocks.5.ln_1,LayerNorm,,,,
text_encoder.transformer.resblocks.5.mlp.c_fc,Linear,,,,
text_encoder.transformer.resblocks.5.mlp.gelu,QuickGELU,,,,
text_encoder.transformer.resblocks.5.mlp.c_proj,Linear,,,,
text_encoder.transformer.resblocks.5.ln_2,LayerNorm,,,,
text_encoder.transformer.resblocks.6.attn.out_proj,NonDynamicallyQuantizableLinear,,,,
text_encoder.transformer.resblocks.6.ln_1,LayerNorm,,,,
text_encoder.transformer.resblocks.6.mlp.c_fc,Linear,,,,
text_encoder.transformer.resblocks.6.mlp.gelu,QuickGELU,,,,
text_encoder.transformer.resblocks.6.mlp.c_proj,Linear,,,,
text_encoder.transformer.resblocks.6.ln_2,LayerNorm,,,,
text_encoder.transformer.resblocks.7.attn.out_proj,NonDynamicallyQuantizableLinear,,,,
text_encoder.transformer.resblocks.7.ln_1,LayerNorm,,,,
text_encoder.transformer.resblocks.7.mlp.c_fc,Linear,,,,
text_encoder.transformer.resblocks.7.mlp.gelu,QuickGELU,,,,
text_encoder.transformer.resblocks.7.mlp.c_proj,Linear,,,,
text_encoder.transformer.resblocks.7.ln_2,LayerNorm,,,,
text_encoder.transformer.resblocks.8.attn.out_proj,NonDynamicallyQuantizableLinear,,,,
text_encoder.transformer.resblocks.8.ln_1,LayerNorm,,,,
text_encoder.transformer.resblocks.8.mlp.c_fc,Linear,,,,
text_encoder.transformer.resblocks.8.mlp.gelu,QuickGELU,,,,
text_encoder.transformer.resblocks.8.mlp.c_proj,Linear,,,,
text_encoder.transformer.resblocks.8.ln_2,LayerNorm,,,,
text_encoder.transformer.resblocks.9.attn.out_proj,NonDynamicallyQuantizableLinear,,,,
text_encoder.transformer.resblocks.9.ln_1,LayerNorm,,,,
text_encoder.transformer.resblocks.9.mlp.c_fc,Linear,,,,
text_encoder.transformer.resblocks.9.mlp.gelu,QuickGELU,,,,
text_encoder.transformer.resblocks.9.mlp.c_proj,Linear,,,,
text_encoder.transformer.resblocks.9.ln_2,LayerNorm,,,,
text_encoder.transformer.resblocks.10.attn.out_proj,NonDynamicallyQuantizableLinear,,,,
text_encoder.transformer.resblocks.10.ln_1,LayerNorm,,,,
text_encoder.transformer.resblocks.10.mlp.c_fc,Linear,,,,
text_encoder.transformer.resblocks.10.mlp.gelu,QuickGELU,,,,
text_encoder.transformer.resblocks.10.mlp.c_proj,Linear,,,,
text_encoder.transformer.resblocks.10.ln_2,LayerNorm,,,,
text_encoder.transformer.resblocks.11.attn.out_proj,NonDynamicallyQuantizableLinear,,,,
text_encoder.transformer.resblocks.11.ln_1,LayerNorm,,,,
text_encoder.transformer.resblocks.11.mlp.c_fc,Linear,,,,
text_encoder.transformer.resblocks.11.mlp.gelu,QuickGELU,,,,
text_encoder.transformer.resblocks.11.mlp.c_proj,Linear,,,,
text_encoder.transformer.resblocks.11.ln_2,LayerNorm,,,,
text_encoder.ln_final,LayerNorm,,,,
prompt_pooler,PromptPooler,,,,
